file,boxes_csv,boxes_parquet,delta_boxes,kilos_csv,kilos_parquet,delta_kilos,rows_csv,rows_parquet,status
datos_semana_1282.csv,3058342,3058342,0,46261253.0,46261253.0,0.0,1391,1391,OK
datos_semana_1283.csv,3071613,3071613,0,47870978.0,47870978.0,0.0,1459,1459,OK
datos_semana_1284.csv,1348223,1348223,0,21347590.0,21347590.0,0.0,684,684,OK
datos_semana_1285.csv,3971047,3971047,0,60995828.0,60995828.0,0.0,1530,1530,OK
datos_semana_1286.csv,3936468,3936468,0,59646423.0,59646423.0,0.0,1486,1486,OK
datos_semana_1287.csv,3258618,3258618,0,49247357.0,49247357.0,0.0,1312,1312,OK
datos_semana_1288.csv,1133245,1133245,0,16902976.0,16902976.0,0.0,385,385,OK
datos_semana_1289.csv,2924253,2924253,0,43178105.0,43178105.0,0.0,1070,1070,OK
datos_semana_1290.csv,4042609,4042609,0,55783421.0,55783421.0,0.0,1336,1336,OK
datos_semana_1291.csv,1490425,1490425,0,21010347.0,21010347.0,0.0,544,544,OK
datos_semana_1292.csv,2554757,2554757,0,34422029.0,34422029.0,0.0,772,772,OK
datos_semana_1293.csv,2785097,2785097,0,37649268.0,37649268.0,0.0,819,819,OK
datos_semana_1294.csv,1729833,1729833,0,21342368.0,21342368.0,0.0,630,630,OK
datos_semana_1295.csv,1802505,1802505,0,23589870.0,23589870.0,0.0,710,710,OK
datos_semana_1296.csv,2144490,2144490,0,24778299.0,24778299.0,0.0,718,718,OK
datos_semana_1297.csv,1591091,1591091,0,16292379.0,16292379.0,0.0,598,598,OK
datos_semana_1298.csv,1872727,1872727,0,15623158.0,15623158.0,0.0,1059,1059,OK
datos_semana_1299.csv,2966086,2966086,0,19587667.0,19587667.0,0.0,1407,1407,OK
datos_semana_1300.csv,8103765,8103765,0,40679165.0,40679165.0,0.0,2575,2575,OK
datos_semana_1301.csv,14486402,14486402,0,64867651.0,64867651.0,0.0,3322,3322,OK
datos_semana_1302.csv,23637925,23637925,0,100751863.0,100751863.0,0.0,4320,4320,OK
